"id","o_node","d_node","neighbors","distance",
127,1103,1291,353  119,0.46104,

"id","o_node","d_node","neighbors","distance",
152,1124,606,168  6555  6556,1.4058,

"id","o_node","d_node","neighbors","distance",
168,1136,1124,152  426,0.026062,

"id","o_node","d_node","neighbors","distance",
221,1181,937,237  7509,1.9445,

"id","o_node","d_node","neighbors","distance",
303,1250,1380,467  468,0.35569,

"id","o_node","d_node","neighbors","distance",
353,1291,1355,127  1461  1462,0.2035,

"id","o_node","d_node","neighbors","distance",
842,1341,1966,843  1171  1175,2.0361,

"id","o_node","d_node","neighbors","distance",
843,1341,2447,842  1796  1795,1.4609,

"id","o_node","d_node","neighbors","distance",
426,1346,1136,168  1411,0.52932,

"id","o_node","d_node","neighbors","distance",
1461,1355,2174,353  1462  1552,1.7935,

"id","o_node","d_node","neighbors","distance",
1462,1355,2189,353  1461  1459,1.7556,

"id","o_node","d_node","neighbors","distance",
237,1366,1181,221  853,0.3671,

"id","o_node","d_node","neighbors","distance",
467,1380,2017,303   468  1244,0.98789,

"id","o_node","d_node","neighbors","distance",
468,1380,2665,303   467  2080  2079,1.6844,

"id","o_node","d_node","neighbors","distance",
474,1384,2643,456  2044,1.7797,

"id","o_node","d_node","neighbors","distance",
574,1469,2714,2150,2.2398,

"id","o_node","d_node","neighbors","distance",
576,1470,1234,1073,0.49624,

"id","o_node","d_node","neighbors","distance",
853,1694,1366,237  1555,0.64072,

"id","o_node","d_node","neighbors","distance",
1073,1881,1470,576   749  1434,1.0265,

"id","o_node","d_node","neighbors","distance",
1434,1881,2202,749  1073  1433  1478,0.40158,

"id","o_node","d_node","neighbors","distance",
1740,1937,2410,1739,1.4223,

"id","o_node","d_node","neighbors","distance",
1739,1937,3188,1740  2801  3050,2.6685,

"id","o_node","d_node","neighbors","distance",
1175,1966,2012,842  1171  1433,0.21753,

"id","o_node","d_node","neighbors","distance",
166,2016,1083,1395  2450,1.6208,

"id","o_node","d_node","neighbors","distance",
1244,2017,2104,467  1350,0.45235,

"id","o_node","d_node","neighbors","distance",
1350,2104,2065,1244,0.041705,

"id","o_node","d_node","neighbors","distance",
1395,2140,2016,166  1407  2450,0.43573,

"id","o_node","d_node","neighbors","distance",
1407,2150,2140,1395,0.017555,

"id","o_node","d_node","neighbors","distance",
1411,2153,1346,426  1551,1.6756,

"id","o_node","d_node","neighbors","distance",
1459,2189,2207,1462  1551  1552  1600,0.01303,

"id","o_node","d_node","neighbors","distance",
1433,2202,2012,1434  1175  1478,0.26951,

"id","o_node","d_node","neighbors","distance",
1478,2202,2219,1434  1433  1499,0.017555,

"id","o_node","d_node","neighbors","distance",
1551,2207,2153,1411  1459  1552  1600,0.46539,

"id","o_node","d_node","neighbors","distance",
1552,2207,2174,1461  1459  1551  1600,0.35013,

"id","o_node","d_node","neighbors","distance",
1600,2207,3169,1459  1551  1552  2766  2768  2769,1.4658,

"id","o_node","d_node","neighbors","distance",
456,2382,1384,474  455,1.7239,

"id","o_node","d_node","neighbors","distance",
1796,2447,2611,843  1795  1555  2003,0.25815,

"id","o_node","d_node","neighbors","distance",
1795,2447,3646,843  1796  3381,2.5303,

"id","o_node","d_node","neighbors","distance",
1555,2611,1694,853  1796  2003,0.9823,

"id","o_node","d_node","neighbors","distance",
2003,2611,2866,1796  1555  2350  2399,0.47563,

"id","o_node","d_node","neighbors","distance",
2044,2643,2719,474  2097  2158,0.19043,

"id","o_node","d_node","neighbors","distance",
2080,2665,2939,468  2079  2450  2644,0.51623,

"id","o_node","d_node","neighbors","distance",
2079,2665,3039,468  2080  2580  2582,0.54146,

"id","o_node","d_node","neighbors","distance",
2097,2676,2719,2044  2158,0.10805,

"id","o_node","d_node","neighbors","distance",
2150,2714,3385,574  3050  3052  3054,0.69518,

"id","o_node","d_node","neighbors","distance",
2158,2719,4058,2044  2097  3913,1.7853,

"id","o_node","d_node","neighbors","distance",
2221,2765,3889,2542  4774  4775,1.1582,

"id","o_node","d_node","neighbors","distance",
2350,2866,2867,2003  2399  2353  2352,0.013582,

"id","o_node","d_node","neighbors","distance",
2399,2866,3085,2003  2350  2603,0.20218,

"id","o_node","d_node","neighbors","distance",
2352,2867,3061,2350  2353  3186,0.24,

"id","o_node","d_node","neighbors","distance",
2450,2939,2016,166  1395  2080  2644,1.3205,

"id","o_node","d_node","neighbors","distance",
2505,2979,2894,2541,0.033358,

"id","o_node","d_node","neighbors","distance",
2542,3017,2765,2221  2541  2547  2629,2.9887,

"id","o_node","d_node","neighbors","distance",
2541,3017,2979,2505  2542  2547  2629,0.73168,

"id","o_node","d_node","neighbors","distance",
2547,3017,3011,2542  2541  2629,0.63792,

"id","o_node","d_node","neighbors","distance",
2580,3039,2907,2079  2582  2407,0.15941,

"id","o_node","d_node","neighbors","distance",
2582,3039,3048,2079  2580  2597  2638  2639,0.026611,

"id","o_node","d_node","neighbors","distance",
2597,3048,3076,2582  2638  2639  2640,0.094374,

"id","o_node","d_node","neighbors","distance",
2602,3051,3069,2603  2629,0.053222,

"id","o_node","d_node","neighbors","distance",
2603,3051,3085,2399  2602,0.034043,

"id","o_node","d_node","neighbors","distance",
2629,3069,3017,2542  2541  2547  2602,0.076461,

"id","o_node","d_node","neighbors","distance",
2638,3076,3048,2582  2597  2639  2640,0.094374,

"id","o_node","d_node","neighbors","distance",
2644,3132,2939,2080  2450  2639  2640  2646  2850  2888,0.30057,

"id","o_node","d_node","neighbors","distance",
2639,3132,3048,2582  2597  2638  2644  2640  2646  2850  2888,0.33012,

"id","o_node","d_node","neighbors","distance",
2640,3132,3076,2597  2638  2644  2639  2646  2850  2888,0.23616,

"id","o_node","d_node","neighbors","distance",
2646,3132,3168,2644  2639  2640  2764  2766  2850  2888,0.42008,

"id","o_node","d_node","neighbors","distance",
2749,3157,2278,2764,1.3275,

"id","o_node","d_node","neighbors","distance",
2764,3168,3157,2646  2749  2766,0.011119,

"id","o_node","d_node","neighbors","distance",
2766,3168,3169,1600  2646  2764  2768  2769,0.013581,

"id","o_node","d_node","neighbors","distance",
2768,3169,3205,1600  2766  2769  2823,0.13066,

"id","o_node","d_node","neighbors","distance",
2769,3169,3228,1600  2766  2768  2850  2852,0.046505,

"id","o_node","d_node","neighbors","distance",
2407,3180,2907,1499  2580  2791  2786,0.96829,

"id","o_node","d_node","neighbors","distance",
2791,3180,3197,1499  2407  3204  3203  2786  2787,0.017553,

"id","o_node","d_node","neighbors","distance",
2801,3188,3418,1739  3050  3095  3093,0.22419,

"id","o_node","d_node","neighbors","distance",
3204,3197,3526,2791  3203  2787,0.57742,

"id","o_node","d_node","neighbors","distance",
3203,3197,3593,2791  3204  3312  2787,0.65571,

"id","o_node","d_node","neighbors","distance",
2823,3205,3351,2768  3001  3017,0.36154,

"id","o_node","d_node","neighbors","distance",
2850,3228,3132,2644  2639  2640  2646  2769  2852  2888,0.179,

"id","o_node","d_node","neighbors","distance",
2852,3228,4153,2769  2850  3231  4025  4033  4032  4059,1.2575,

"id","o_node","d_node","neighbors","distance",
2888,3255,3132,2644  2639  2640  2646  2850  3001,0.3652,

"id","o_node","d_node","neighbors","distance",
3001,3351,3255,2823  2888  3017,0.2933,

"id","o_node","d_node","neighbors","distance",
3050,3385,3188,1739  2150  2801  3052  3054,1.0121,

"id","o_node","d_node","neighbors","distance",
3052,3385,3844,2150  3050  3054  3636,0.49096,

"id","o_node","d_node","neighbors","distance",
3095,3418,3611,2801  3093  3338,0.19727,

"id","o_node","d_node","neighbors","distance",
3186,3496,3061,2352  3312  4216,1.2225,

"id","o_node","d_node","neighbors","distance",
3093,3502,3418,2801  3095  3211,0.11828,

"id","o_node","d_node","neighbors","distance",
3211,3515,3502,3093  3254,0.013029,

"id","o_node","d_node","neighbors","distance",
3017,3529,3351,2823  3001  3254  3231  3290,0.40741,

"id","o_node","d_node","neighbors","distance",
3254,3529,3515,3211  3017  3231  3290,0.23062,

"id","o_node","d_node","neighbors","distance",
3231,3529,4153,2852  3017  3254  3290  4025  4033  4032  4059,1.4601,

"id","o_node","d_node","neighbors","distance",
3290,3576,3529,3017  3254  3231,0.12563,

"id","o_node","d_node","neighbors","distance",
3312,3593,3496,3203  3186  4216,0.32637,

"id","o_node","d_node","neighbors","distance",
3338,3611,3641,3095,0.039086,

"id","o_node","d_node","neighbors","distance",
3342,3614,3615,2786  2787,0.0067901,

"id","o_node","d_node","neighbors","distance",
2786,3615,3180,1499  2407  2791  3342  2787,0.7323,

"id","o_node","d_node","neighbors","distance",
2787,3615,3197,2791  3204  3203  3342  2786,0.72984,

"id","o_node","d_node","neighbors","distance",
3381,3646,4297,1795  4216  4595  4596  4572,0.96073,

"id","o_node","d_node","neighbors","distance",
3054,3697,3385,2150  3050  3052  3481,0.75768,

"id","o_node","d_node","neighbors","distance",
3636,3844,3867,3052  3668  3671,0.1769,

"id","o_node","d_node","neighbors","distance",
3668,3867,3865,3636  3671  3708,0.56336,

"id","o_node","d_node","neighbors","distance",
3671,3868,3867,3636  3668,0.18332,

"id","o_node","d_node","neighbors","distance",
4774,3889,4722,2221  4775  4776,1.591,

"id","o_node","d_node","neighbors","distance",
4775,3889,4742,2221  4774,1.6016,

"id","o_node","d_node","neighbors","distance",
3912,4057,4195,3486  3913  3481  4089,0.88735,

"id","o_node","d_node","neighbors","distance",
3913,4058,4057,2158  3912,0.0067894,

"id","o_node","d_node","neighbors","distance",
3990,4123,4127,4033,0.013028,

"id","o_node","d_node","neighbors","distance",
4025,4148,4153,2852  3231  4033  4032  4059,0.023205,

"id","o_node","d_node","neighbors","distance",
4033,4153,4127,2852  3231  3990  4025  4032  4059,0.11037,

"id","o_node","d_node","neighbors","distance",
4032,4153,4148,2852  3231  4025  4033  4059,0.023205,

"id","o_node","d_node","neighbors","distance",
4059,4153,4186,2852  3231  4025  4033  4032  4554,0.14246,

"id","o_node","d_node","neighbors","distance",
4554,4186,4630,4059  4640,0.52392,

"id","o_node","d_node","neighbors","distance",
3481,4195,3697,3054  3486  3912  4089,1.4166,

"id","o_node","d_node","neighbors","distance",
4089,4195,4201,3486  3912  3481  4099  4098,0.011119,

"id","o_node","d_node","neighbors","distance",
4099,4201,4293,4089  4098  4212,0.11154,

"id","o_node","d_node","neighbors","distance",
4098,4201,4333,4089  4099  4264  4560  4394,0.14481,

"id","o_node","d_node","neighbors","distance",
4212,4293,4303,4099,0.011119,

"id","o_node","d_node","neighbors","distance",
4216,4297,3496,3186  3312  3381  4595  4596  4572,1.259,

"id","o_node","d_node","neighbors","distance",
4595,4297,4596,3381  4216  4596  4572  4591,0.31875,

"id","o_node","d_node","neighbors","distance",
4596,4297,4608,3381  4216  4595  4572  4610,0.31142,

"id","o_node","d_node","neighbors","distance",
4264,4333,4047,4098  4560  4394,0.69249,

"id","o_node","d_node","neighbors","distance",
4560,4333,4570,4098  4264  4394  4559,0.19582,

"id","o_node","d_node","neighbors","distance",
4662,4340,4652,4660  4661  4794  4776,1.0995,

"id","o_node","d_node","neighbors","distance",
3708,4377,3865,3668  4322  4391,0.69002,

"id","o_node","d_node","neighbors","distance",
4322,4377,4434,3708  4391  4394,0.053682,

"id","o_node","d_node","neighbors","distance",
4328,4381,4505,4303  4304  4480,0.25649,

"id","o_node","d_node","neighbors","distance",
4303,4382,4381,4328  4304  4559,0.069132,

"id","o_node","d_node","neighbors","distance",
4304,4382,4505,4328  4303  4480  4559,0.32554,

"id","o_node","d_node","neighbors","distance",
4391,4432,4377,3708  4322,0.026056,

"id","o_node","d_node","neighbors","distance",
4394,4434,4333,4098  4264  4560  4322,1.9593,

"id","o_node","d_node","neighbors","distance",
1297,448,145,5034,1.728,

"id","o_node","d_node","neighbors","distance",
4480,4505,4519,4328  4304  4882  4883,1.7855,

"id","o_node","d_node","neighbors","distance",
4882,4519,4796,4480  4883  4895,0.84772,

"id","o_node","d_node","neighbors","distance",
4883,4519,4803,4480  4882  4905,0.87063,

"id","o_node","d_node","neighbors","distance",
4559,4570,4382,4560  4303  4304,0.15588,

"id","o_node","d_node","neighbors","distance",
4572,4581,4297,3381  4216  4595  4596,0.27424,

"id","o_node","d_node","neighbors","distance",
4591,4596,4725,4595  4800,0.41182,

"id","o_node","d_node","neighbors","distance",
4865,4600,4778,4868,0.21454,

"id","o_node","d_node","neighbors","distance",
4610,4608,5276,4596  5521,1.2373,

"id","o_node","d_node","neighbors","distance",
4640,4630,5463,4554  5782,1.365,

"id","o_node","d_node","neighbors","distance",
4660,4652,4641,4662  4661  4794  5593,0.075676,

"id","o_node","d_node","neighbors","distance",
4661,4652,4643,4662  4660  4794,0.075676,

"id","o_node","d_node","neighbors","distance",
4794,4652,4747,4662  4660  4661  4800,0.47328,

"id","o_node","d_node","neighbors","distance",
4776,4722,4340,4774  4662,1.7364,

"id","o_node","d_node","neighbors","distance",
4800,4725,4747,4591  4794,0.23176,

"id","o_node","d_node","neighbors","distance",
4868,4778,4786,4865  4917,0.011119,

"id","o_node","d_node","neighbors","distance",
4895,4796,4407,4882,0.93248,

"id","o_node","d_node","neighbors","distance",
4970,4810,4858,4917  4905  4906  5300,0.35304,

"id","o_node","d_node","neighbors","distance",
4917,4858,4786,4868  4970  4905  4906  5300,0.37895,

"id","o_node","d_node","neighbors","distance",
4905,4858,4803,4883  4970  4917  4906  5300,0.37648,

"id","o_node","d_node","neighbors","distance",
